epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.969,0.70412,2.01244,0.91319,0.9624,0.91138,0.935,0.78075,0.56092,2.06694,0.82633,0.000472191,0.000472191,0.000472191
2,257.559,0.67495,1.21705,0.9081,0.87738,0.8723,0.93212,0.76342,0.63204,1.49538,0.87537,0.000929744,0.000929744,0.000929744
3,374.447,0.68826,1.08431,0.91204,0.96541,0.97469,0.98572,0.82215,0.53366,1.03796,0.82827,0.00136843,0.00136843,0.00136843
4,514.884,0.69198,0.92092,0.91206,0.97546,0.96764,0.98642,0.82346,0.53934,1.07621,0.83204,0.00134412,0.00134412,0.00134412
5,888.277,0.67534,0.81402,0.91451,0.9692,0.95963,0.97078,0.8188,0.53817,0.74897,0.83425,0.00131582,0.00131582,0.00131582
6,1256.65,0.62376,0.70978,0.8938,0.95815,0.97145,0.97887,0.84769,0.51362,0.62916,0.83229,0.00128753,0.00128753,0.00128753
7,1498.28,0.61918,0.6294,0.90588,0.97622,0.98504,0.99052,0.86213,0.46308,0.54565,0.81962,0.00125923,0.00125923,0.00125923
8,1982.82,0.58538,0.60489,0.89012,0.97032,0.96459,0.97951,0.86599,0.44743,0.53195,0.81211,0.00123094,0.00123094,0.00123094
9,2145.26,0.6076,0.55759,0.8961,0.98387,0.98083,0.99312,0.87337,0.44564,0.44717,0.81201,0.00120265,0.00120265,0.00120265
10,2505.67,0.57268,0.51569,0.89589,0.97624,0.96735,0.99117,0.86711,0.43417,0.4629,0.80931,0.00117435,0.00117435,0.00117435
11,3066.84,0.58135,0.52521,0.89472,0.98607,0.98613,0.99211,0.87703,0.44763,0.40621,0.81959,0.00114606,0.00114606,0.00114606
12,3357.41,0.53686,0.47667,0.87314,0.98785,0.98494,0.9916,0.88553,0.43567,0.38673,0.80881,0.00111776,0.00111776,0.00111776
13,3632.64,0.54612,0.46608,0.877,0.98846,0.99194,0.9937,0.87212,0.45003,0.37045,0.81472,0.00108947,0.00108947,0.00108947
14,4215.6,0.52103,0.44028,0.87337,0.9746,0.99444,0.9908,0.88335,0.41646,0.36388,0.80212,0.00106118,0.00106118,0.00106118
15,5335.31,0.52479,0.45478,0.87382,0.98017,0.9757,0.98754,0.87793,0.4437,0.37051,0.81233,0.00103288,0.00103288,0.00103288
16,5939.44,0.52334,0.43611,0.86994,0.98962,0.98746,0.99451,0.87538,0.44361,0.36134,0.81262,0.00100459,0.00100459,0.00100459
17,9043.67,0.50681,0.40718,0.86954,0.9827,0.97787,0.99238,0.88381,0.42439,0.34392,0.80728,0.000976293,0.000976293,0.000976293
18,9533.35,0.50018,0.40897,0.86348,0.98879,0.99194,0.99353,0.88769,0.40158,0.32442,0.81466,0.000947999,0.000947999,0.000947999
19,10103.4,0.49275,0.40286,0.87309,0.98137,0.98245,0.98642,0.88984,0.41105,0.32258,0.80579,0.000919704,0.000919704,0.000919704
20,10664.1,0.49236,0.39306,0.86932,0.9884,0.9713,0.98606,0.89487,0.40425,0.31884,0.80298,0.00089141,0.00089141,0.00089141
21,11225.3,0.50901,0.37657,0.87082,0.98617,0.99444,0.99216,0.89454,0.40808,0.30293,0.80494,0.000863116,0.000863116,0.000863116
22,11763,0.47707,0.37931,0.86153,0.9853,0.99194,0.99375,0.89895,0.38124,0.29596,0.79788,0.000834822,0.000834822,0.000834822
23,12334.1,0.46925,0.3642,0.86318,0.98948,0.99832,0.99467,0.89301,0.38233,0.28529,0.79932,0.000806528,0.000806528,0.000806528
24,12891.5,0.48025,0.37056,0.8614,0.98584,0.99925,0.99274,0.89004,0.39619,0.28918,0.80501,0.000778233,0.000778233,0.000778233
25,13459.5,0.47333,0.36535,0.86058,0.99103,0.99272,0.99452,0.89616,0.38629,0.27968,0.79665,0.000749939,0.000749939,0.000749939
26,14010.1,0.46671,0.34568,0.86678,0.99042,0.99297,0.9947,0.90027,0.39048,0.27028,0.801,0.000721645,0.000721645,0.000721645
27,14577.7,0.46104,0.34741,0.85563,0.99359,0.99669,0.99495,0.89593,0.38372,0.26907,0.79847,0.000693351,0.000693351,0.000693351
28,15121.6,0.44762,0.33418,0.86171,0.9914,0.98559,0.99443,0.90639,0.36403,0.26668,0.79586,0.000665057,0.000665057,0.000665057
29,15686.6,0.45876,0.34126,0.86273,0.98828,0.99933,0.99465,0.90353,0.38856,0.26774,0.80246,0.000636762,0.000636762,0.000636762
30,16219.4,0.45154,0.32182,0.85558,0.98959,0.99863,0.99497,0.90548,0.35851,0.2483,0.7927,0.000608468,0.000608468,0.000608468
