epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.603,1.63307,1.17172,1.45313,0.84315,0.74217,0.79685,0.51363,1.36034,1.05204,1.41369,0.000415365,0.000415365,0.000415365
2,279.625,1.58685,0.83556,1.41135,0.87858,0.76445,0.82993,0.52429,1.35047,1.16106,1.4506,0.000823794,0.000823794,0.000823794
3,415.968,1.54602,0.78037,1.37884,0.94362,0.84117,0.89191,0.57294,1.36922,0.93224,1.46869,0.00122397,0.00122397,0.00122397
4,552.846,1.52417,0.73545,1.36923,0.96308,0.92163,0.96008,0.59715,1.24418,0.62824,1.36805,0.00121287,0.00121287,0.00121287
5,688.77,1.48717,0.70107,1.34878,0.95466,0.94268,0.96622,0.66498,1.06549,0.55082,1.22264,0.0012005,0.0012005,0.0012005
6,824.687,1.44172,0.67112,1.31876,0.97866,0.94036,0.97116,0.69443,0.99417,0.48796,1.19061,0.00118812,0.00118812,0.00118812
7,960.548,1.4023,0.63121,1.29482,0.96569,0.95106,0.98063,0.70171,1.02419,0.4715,1.19243,0.00117575,0.00117575,0.00117575
8,1096.53,1.36568,0.61243,1.27332,0.97049,0.94117,0.97079,0.70435,0.983,0.48904,1.18543,0.00116337,0.00116337,0.00116337
9,1232.76,1.34825,0.60236,1.26412,0.95789,0.95006,0.9672,0.69661,0.9959,0.46506,1.18875,0.001151,0.001151,0.001151
10,1368.59,1.32337,0.58462,1.24808,0.96996,0.9531,0.97562,0.71999,0.92873,0.44086,1.1324,0.00113863,0.00113863,0.00113863
11,1504.84,1.31851,0.57502,1.24974,0.96736,0.96094,0.97756,0.72218,0.94218,0.44024,1.13841,0.00112625,0.00112625,0.00112625
12,1640.73,1.29172,0.56239,1.23759,0.97616,0.97382,0.98463,0.72532,0.9416,0.4108,1.13745,0.00111388,0.00111388,0.00111388
13,1776.81,1.2852,0.55646,1.22516,0.97611,0.97584,0.98541,0.73329,0.92863,0.42674,1.13765,0.0011015,0.0011015,0.0011015
